repo,tag,last_update
nvidia/cuda,10.0-base,2021-07-02 07:17:24
nvidia/cuda,10.0-base-centos6,2019-12-11 23:10:04
nvidia/cuda,10.0-base-centos7,2022-05-28 22:16:05
nvidia/cuda,10.0-base-ubi7,2022-05-28 21:56:31
nvidia/cuda,10.0-base-ubuntu14.04,2019-08-27 01:07:15
nvidia/cuda,10.0-base-ubuntu16.04,2022-04-03 19:43:00
nvidia/cuda,10.0-base-ubuntu18.04,2022-05-28 22:06:01
nvidia/cuda,10.0-cudnn7-devel,2021-07-02 07:16:59
nvidia/cuda,10.0-cudnn7-devel-centos6,2019-12-11 23:09:35
nvidia/cuda,10.0-cudnn7-devel-centos7,2022-05-28 22:14:50
nvidia/cuda,10.0-cudnn7-devel-ubi7,2022-05-28 21:55:15
nvidia/cuda,10.0-cudnn7-devel-ubuntu14.04,2019-08-27 01:06:43
nvidia/cuda,10.0-cudnn7-devel-ubuntu16.04,2022-04-03 19:42:18
nvidia/cuda,10.0-cudnn7-devel-ubuntu18.04,2022-05-28 22:04:47
nvidia/cuda,10.0-cudnn7-runtime,2021-07-02 07:16:44
nvidia/cuda,10.0-cudnn7-runtime-centos6,2019-12-11 23:09:59
nvidia/cuda,10.0-cudnn7-runtime-centos7,2022-05-28 22:15:53
nvidia/cuda,10.0-cudnn7-runtime-ubi7,2022-05-28 21:56:17
nvidia/cuda,10.0-cudnn7-runtime-ubuntu14.04,2019-08-27 01:07:10
nvidia/cuda,10.0-cudnn7-runtime-ubuntu16.04,2022-04-03 19:42:50
nvidia/cuda,10.0-cudnn7-runtime-ubuntu18.04,2022-05-28 22:05:47
nvidia/cuda,10.0-devel,2021-07-02 07:18:16
nvidia/cuda,10.0-devel-centos6,2019-12-11 23:10:02
nvidia/cuda,10.0-devel-centos7,2022-05-28 22:16:34
nvidia/cuda,10.0-devel-ubi7,2022-05-28 21:56:59
nvidia/cuda,10.0-devel-ubuntu14.04,2019-08-27 01:07:11
nvidia/cuda,10.0-devel-ubuntu16.04,2022-04-03 19:43:17
nvidia/cuda,10.0-devel-ubuntu18.04,2022-05-28 22:06:32
nvidia/cuda,10.0-runtime,2021-07-02 07:17:32
nvidia/cuda,10.0-runtime-centos6,2019-12-11 23:10:04
nvidia/cuda,10.0-runtime-centos7,2022-05-28 22:16:20
nvidia/cuda,10.0-runtime-ubi7,2022-05-28 21:56:44
nvidia/cuda,10.0-runtime-ubuntu14.04,2019-08-27 01:07:13
nvidia/cuda,10.0-runtime-ubuntu16.04,2022-04-03 19:43:08
nvidia/cuda,10.0-runtime-ubuntu18.04,2022-05-28 22:06:16
nvidia/cuda,10.1-base,2021-07-02 23:59:21
nvidia/cuda,10.1-base-centos6,2019-12-05 23:37:58
nvidia/cuda,10.1-base-centos7,2022-05-28 22:03:32
nvidia/cuda,10.1-base-centos8,2022-01-06 22:21:00
nvidia/cuda,10.1-base-rockylinux8,2022-05-28 22:12:46
nvidia/cuda,10.1-base-ubi7,2022-05-28 21:59:58
nvidia/cuda,10.1-base-ubi8,2022-05-28 21:52:22
nvidia/cuda,10.1-base-ubuntu14.04,2019-08-27 01:08:03
nvidia/cuda,10.1-base-ubuntu16.04,2022-04-03 19:35:17
nvidia/cuda,10.1-base-ubuntu18.04,2022-05-28 22:01:37
nvidia/cuda,10.1-cudnn7-devel,2021-07-02 23:59:00
nvidia/cuda,10.1-cudnn7-devel-centos6,2019-12-05 23:35:45
nvidia/cuda,10.1-cudnn7-devel-centos7,2022-05-28 21:59:20
nvidia/cuda,10.1-cudnn7-devel-centos8,2022-01-06 22:20:48
nvidia/cuda,10.1-cudnn7-devel-rockylinux8,2022-05-28 22:12:32
nvidia/cuda,10.1-cudnn7-devel-ubi7,2022-05-28 21:57:50
nvidia/cuda,10.1-cudnn7-devel-ubi8,2022-05-28 21:52:15
nvidia/cuda,10.1-cudnn7-devel-ubuntu14.04,2019-08-27 01:07:31
nvidia/cuda,10.1-cudnn7-devel-ubuntu16.04,2022-04-03 19:35:08
nvidia/cuda,10.1-cudnn7-devel-ubuntu18.04,2022-05-28 21:58:55
nvidia/cuda,10.1-cudnn7-runtime,2021-07-02 23:58:54
nvidia/cuda,10.1-cudnn7-runtime-centos6,2019-12-05 23:37:53
nvidia/cuda,10.1-cudnn7-runtime-centos7,2022-05-28 22:01:48
nvidia/cuda,10.1-cudnn7-runtime-centos8,2022-01-06 22:20:53
nvidia/cuda,10.1-cudnn7-runtime-rockylinux8,2022-05-28 22:12:39
nvidia/cuda,10.1-cudnn7-runtime-ubi7,2022-05-28 21:59:12
nvidia/cuda,10.1-cudnn7-runtime-ubi8,2022-05-28 21:52:19
nvidia/cuda,10.1-cudnn7-runtime-ubuntu14.04,2019-08-27 01:07:57
nvidia/cuda,10.1-cudnn7-runtime-ubuntu16.04,2022-04-03 19:35:13
nvidia/cuda,10.1-cudnn7-runtime-ubuntu18.04,2022-05-28 22:00:17
nvidia/cuda,10.1-cudnn8-devel,2021-07-02 23:59:12
nvidia/cuda,10.1-cudnn8-devel-centos7,2022-05-28 21:56:02
